delivery_status,orders,avg_review,avg_delay,bad_review_pct
Late,2770,2.988243938280676,2.6938628158844766,40.46931407942238
On Time,89936,4.29090034994354,-13.510262853584772,9.208770681373421
Super Late,3764,1.7406395189942607,16.453241232731138,75.95642933049946
Unknown,8,4.5,,12.5
