distance_band,orders,avg_delay,avg_review,late_pct
<100 km,17883,-9.52401990940104,4.2702824350174415,4.4455628250293575
100-500 km,36993,-12.081215529360874,4.184774032051806,6.101154272429919
500-1000 km,25744,-12.699413432777842,4.115286848382934,7.100683654443754
1000-2000 km,9744,-12.841440886699507,4.050222176294306,9.554597701149426
2000+ km,5610,-12.679857397504456,3.976957695769577,12.067736185383245
